State,county_name,lat,lng,Percent_Republican,Percent_Democrat,Difference,Never,Rarely,Sometimes,Frequently,Always,Never_Rarely,Frequently_Always,Majority,White,Black,UnemploymentRate,Med_Household_Income,LessHS,HSGrad,Bachelors,GradProfDegree
West Virginia,Mercer County,37.4055,-81.1114,0.77,0.22,0.54,0.076,0.152,0.174,0.103,0.495,0.22799999999999998,0.598,Republican,0.91,0.06,0.0356,40784,0.17,0.39,0.13,0.07
West Virginia,Summers County,37.6559,-80.8586,0.73,0.26,0.47,0.053,0.104,0.166,0.111,0.567,0.157,0.6779999999999999,Republican,0.93,0.05,0.0517,38187,0.15,0.42,0.09,0.05
Georgia,Jones County,33.0251,-83.5605,0.67,0.33,0.34,0.049,0.087,0.226,0.209,0.43,0.136,0.639,Republican,0.73,0.25,0.0308,56020,0.11,0.39,0.12,0.08
Georgia,Echols County,30.7101,-82.894,0.87,0.12,0.76,0.097,0.073,0.182,0.202,0.446,0.16999999999999998,0.648,Republican,0.74,0.02,0.0182,39494,0.26,0.42,0.06,0.04
Missouri,Ste. Genevieve County,37.8944,-90.1945,0.7,0.29,0.41,0.025,0.14,0.144,0.311,0.38,0.165,0.6910000000000001,Republican,0.97,0.02,0.0221,60129,0.11,0.39,0.11,0.09
Montana,Pondera County,48.2277,-112.2263,0.68,0.3,0.38,0.123,0.175,0.17,0.142,0.39,0.298,0.532,Republican,0.81,0,0.0387,51151,0.07,0.33,0.19,0.05
Kentucky,Fayette County,38.0423,-84.4587,0.38,0.59,-0.21,0.031,0.051,0.066,0.202,0.65,0.08199999999999999,0.8520000000000001,Democrat,0.75,0.15,0.0344,57291,0.09,0.2,0.24,0.19
Alabama,DeKalb County,34.4598,-85.8041,0.84,0.15,0.7,0.084,0.051,0.106,0.179,0.58,0.135,0.7589999999999999,Republican,0.85,0.01,0.0217,40440,0.25,0.34,0.08,0.05
Kentucky,Muhlenberg County,37.2158,-87.142,0.74,0.25,0.49,0.035,0.154,0.123,0.2,0.488,0.189,0.688,Republican,0.93,0.05,0.0328,43590,0.18,0.45,0.08,0.05
South Carolina,Fairfield County,34.3951,-81.1212,0.38,0.61,-0.23,0.046,0.032,0.046,0.31,0.566,0.078,0.8759999999999999,Democrat,0.39,0.59,0.0323,38213,0.14,0.41,0.12,0.05
Georgia,Screven County,32.7506,-81.6119,0.59,0.4,0.19,0.198,0.069,0.081,0.242,0.41,0.267,0.6519999999999999,Republican,0.56,0.42,0.0435,39842,0.17,0.42,0.09,0.06
Kentucky,Laurel County,37.1107,-84.1178,0.83,0.16,0.67,0.201,0.047,0.083,0.152,0.517,0.248,0.669,Republican,0.97,0.01,0.0348,41526,0.19,0.39,0.09,0.06
Oregon,Jefferson County,44.6294,-121.1762,0.6,0.37,0.23,0.018,0.062,0.012,0.25,0.657,0.08,0.907,Republican,0.71,0.01,0.0468,53277,0.13,0.31,0.13,0.06
Georgia,Dodge County,32.1722,-83.1684,0.72,0.27,0.45,0.145,0.025,0.15,0.236,0.443,0.16999999999999998,0.679,Republican,0.67,0.29,0.0275,39302,0.14,0.44,0.1,0.04
Florida,Nassau County,30.6106,-81.8016,0.72,0.26,0.46,0.09,0.07,0.147,0.223,0.47,0.16,0.693,Republican,0.9,0.06,0.0224,69943,0.09,0.32,0.18,0.11
Maryland,Baltimore County,39.4627,-76.6393,0.35,0.62,-0.27,0.013,0.024,0.043,0.142,0.777,0.037,0.919,Democrat,0.61,0.29,0.0318,76866,0.09,0.26,0.23,0.17
Texas,Irion County,31.3039,-100.9824,0.85,0.13,0.72,0.009,0.047,0.058,0.276,0.61,0.056,0.886,Republican,0.76,0.04,0.0337,47500,0.07,0.38,0.12,0.03
South Dakota,Buffalo County,44.0763,-99.2048,0.33,0.64,-0.31,0.161,0.059,0.157,0.253,0.371,0.22,0.624,Democrat,0.14,0,0.1276,34808,0.22,0.4,0.07,0.02
New Mexico,Bernalillo County,35.0513,-106.6701,0.37,0.61,-0.24,0.036,0.014,0.057,0.135,0.758,0.049999999999999996,0.893,Democrat,0.74,0.03,0.0352,53329,0.11,0.23,0.19,0.16
Massachusetts,Bristol County,41.7972,-71.1144,0.43,0.55,-0.12,0.016,0.02,0.056,0.161,0.747,0.036000000000000004,0.908,Democrat,0.84,0.04,0.0351,69095,0.14,0.3,0.18,0.1
North Dakota,McHenry County,48.2346,-100.6363,0.79,0.19,0.6,0.206,0.132,0.124,0.263,0.275,0.33799999999999997,0.538,Republican,0.97,0,0.0153,64179,0.09,0.34,0.18,0.04
North Carolina,Beaufort County,35.494,-76.8598,0.62,0.37,0.26,0.037,0.08,0.041,0.219,0.623,0.11699999999999999,0.842,Republican,0.72,0.25,0.038,45212,0.12,0.33,0.13,0.08
